Date,Description,Amount,Extended Details,Doing Business As,Parent Company,Street Address,"City, State Zip",Reference,Category
1/1/17,"STARBUCKS STORE 1421 - TROY, MI",2.92," Additional Information: FAST FOOD RESTAURANT 
 ",Starbucks,,"6908 ROCHESTER RD
-
TROY
MI","48085
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
1/3/17,ONLINE PAYMENT - THANK YOU,"-1,252.88",,,,,,3.2017E+17,
1/4/17,"MEIJER INC #054 Q01 000000054 - NORTHVILLE, MI",9.99," Additional Information: 8773634537 
  Description 
  REFER TO RECEIPT 
 ",MEIJER,,"20401 HAGGERTY RD
NORTHVILLE
MI","48167
UNITED STATES",3.2017E+17,Merchandise & Supplies-Groceries
1/6/17,"SHELL OIL 57445535206 - TROY, MI",34.84," Additional Information: AUTO FUEL DISPENSER 
 ",SHELL,,"12700 NORTHBOROUGH
ATTN: TEXACO CHARGEBACKS
HOUSTON
TX","77067
UNITED STATES",3.2017E+17,Transportation-Fuel
1/6/17,"ZOYO NEIGHBORHOOD YOGURT 000000001 - TROY, MI",1.63," Additional Information: 2488175392 
  Description 
  REFER TO RECEIPT 
 ",ZOYO NEIGHBORHOOD YOGURT,,"3067 ROCHESTER RD
TROY
MI","48083-5420
UNITED STATES",3.2017E+17,Merchandise & Supplies-Wholesale Stores
1/10/17,"FRANCESCAS COLLECTIONS - PALO ALTO, CA",18.98," Additional Information: MISC/SPECIALTY RETAIL 
 ",FRANCESCAS 445,,"855 EL CAMINO REAL
STE 10
PALO ALTO
CA","94301-2326
UNITED STATES",3.2017E+17,Merchandise & Supplies-General Retail
1/11/17,"AMAZON MKTPLACE PMTS - AMZN.COM/BILL, WA",20.39," Additional Information: BOOK STORES 
 ",Amazon Marketplace,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.2017E+17,Merchandise & Supplies-Internet Purchase
1/11/17,"ECONOMIST Newspaper - (800)456-6086, NY",42," Additional Information: 5798378625 48375 
  SUBSCRIPTION 
 ",THE ECONOMIST NEWSPAPER,,"750 3RD AVE FL 5
NEW YORK
NY","10017
UNITED STATES",3.2017E+17,Merchandise & Supplies-Mail Order
1/12/17,"STANFORD UNIV BKST #670 000000670 - STANFORD, CA",4.64," Additional Information: 717 94305 
 ",670 STANFORD UNIVERSITY BOOKSTORE,,"WHITE PLAZA
STANFORD
CA","94305
UNITED STATES",3.2017E+17,Merchandise & Supplies-Book Stores
1/12/17,"THE TREEHOUSE 650000000922487 - STANFORD, CA",8," Additional Information: 6507234500 
  TIP  $1.76 
 ",THE TREEHOUSE,,"459 LAGUNITA DR
STANFORD
CA","94305
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
1/14/17,"PATXI'S PIZZA-PALO ALTO 0002 - PALO ALTO, CA",65," Additional Information: 415-795-4210 
  Description 
  FOOD/BEVERAGE 
 ",PATXI'S CHICAGO PIZZA,,"441 EMERSON ST
PALO ALTO
CA","94301-1605
UNITED STATES",3.2017E+17,Restaurant-Restaurant
1/15/17,"AMAZON MKTPLACE PMTS - AMZN.COM/BILL, WA",11.49," Additional Information: BOOK STORES 
 ",Amazon Marketplace,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.2017E+17,Merchandise & Supplies-Internet Purchase
1/15/17,"AMAZON.COM - AMZN.COM/BILL, WA",20.78," Additional Information: MERCHANDISE 
 ",AMAZON.COM,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.2017E+17,Merchandise & Supplies-Internet Purchase
1/15/17,SPOTIFY USA - NEW YORK,9.99," Additional Information: BUSINESS SERVICE 
 ",SPOTIFY.,,"SIMON CARMIGGELSTRAAT 6-50
AMSTERDAM","1011 DJ
NETHERLANDS (THE)",3.2017E+17,Merchandise & Supplies-Internet Purchase
1/16/17,"AMAZON MKTPLACE PMTS - AMZN.COM/BILL, WA",5.79," Additional Information: BOOK STORES 
 ",Amazon Marketplace,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.2017E+17,Merchandise & Supplies-Internet Purchase
